Ялта,2016-01-01,2:00,-8,-10,ясно; без осадков,768,68,северо-западный,2
Саки,2016-01-03,8:00,-8,-10,облачно; без осадков,768,78,северный,3
Саки,2016-01-03,14:00,-5,-7,пасмурно; без осадков,767,47,северный,3
Саки,2016-01-03,20:00,-8,-10,ясно; без осадков,767,58,северо-восточный,3
Керчь,2016-01-03,2:00,-5,-7,пасмурно; без осадков,768,75,восточный,3
Керчь,2016-01-03,8:00,-7,-9,пасмурно; без осадков,767,81,южный,1
Керчь,2016-01-03,14:00,-4,-6,пасмурно; без осадков,767,60,северный,4
Керчь,2016-01-03,20:00,-6,-8,малооблачно; без осадков,768,69,северо-восточный,4
Красноперекопск,2016-01-03,2:00,-7,-9,пасмурно; без осадков,769,72,северный,5
Красноперекопск,2016-01-03,8:00,-8,-10,пасмурно; без осадков,769,74,северный,4
Красноперекопск,2016-01-03,14:00,-6,-8,малооблачно; без осадков,769,50,северный,3
Красноперекопск,2016-01-03,20:00,-9,-11,ясно; без осадков,769,71,северо-восточный,2
Щелкино,2016-01-03,2:00,-6,-8,пасмурно; без осадков,765,84,южный,4
Щелкино,2016-01-03,8:00,-7,-9,облачно; без осадков,764,80,юго-западный,3
Щелкино,2016-01-03,14:00,-4,-6,пасмурно; без осадков,764,71,северный,5
Щелкино,2016-01-03,20:00,-5,-7,облачно; без осадков,765,62,северо-восточный,3
Симферополь,2016-01-03,2:00,-9,-11,облачно; без осадков,745,81,западный,2
Симферополь,2016-01-03,8:00,-10,-12,облачно; без осадков,745,84,северо-западный,1
Симферополь,2016-01-03,14:00,-6,-8,пасмурно; без осадков,744,51,северный,4
Симферополь,2016-01-03,20:00,-9,-11,облачно; без осадков,744,65,северо-восточный,3
Судак,2016-01-03,2:00,-6,-8,малооблачно; без осадков,765,75,северо-западный,5
Судак,2016-01-03,8:00,-6,-8,облачно; без осадков,764,76,северо-западный,6
Судак,2016-01-03,14:00,-4,-6,облачно; без осадков,764,64,северо-западный,7
Судак,2016-01-03,20:00,-6,-8,облачно; без осадков,765,74,северный,4
Феодосия,2016-01-03,2:00,-6,-8,облачно; без осадков,767,79,западный,6
Феодосия,2016-01-03,8:00,-6,-8,облачно; без осадков,767,82,западный,7
Феодосия,2016-01-03,14:00,-3,-5,облачно; без осадков,767,55,северо-западный,5
Феодосия,2016-01-03,20:00,-5,-7,пасмурно; без осадков,768,75,северный,3
Армянск,2016-01-03,2:00,-7,-9,пасмурно; без осадков,768,78,северный,7
Армянск,2016-01-03,8:00,-7,-9,пасмурно; без осадков,768,77,северный,6
Армянск,2016-01-03,14:00,-6,-8,малооблачно; без осадков,768,55,северный,4
Армянск,2016-01-03,20:00,-8,-10,малооблачно; без осадков,768,66,северо-восточный,3
Черноморское,2016-01-03,2:00,-6,-8,облачно; без осадков,769,69,северный,5
Черноморское,2016-01-03,8:00,-7,-9,пасмурно; без осадков,768,71,северный,5
Черноморское,2016-01-03,14:00,-5,-7,пасмурно; без осадков,768,56,северный,3
Черноморское,2016-01-03,20:00,-6,-8,малооблачно; без осадков,767,61,восточный,4
Севастополь,2016-01-03,2:00,-6,-8,облачно; без осадков,768,71,северный,5
Севастополь,2016-01-03,8:00,-7,-9,ясно; без осадков,768,75,северо-восточный,6
Севастополь,2016-01-03,14:00,-4,-6,облачно; без осадков,767,52,северный,5
Севастополь,2016-01-03,20:00,-6,-8,малооблачно; без осадков,767,63,северный,5
Ялта,2016-01-04,2:00,-10,-12,пасмурно; без осадков,764,88,северо-восточный,3
Ялта,2016-01-04,8:00,-3,-5,пасмурно; без осадков,760,75,северо-восточный,2
Ялта,2016-01-04,14:00,0,-2,пасмурно; без осадков,758,82,северо-восточный,3
Ялта,2016-01-04,20:00,-4,-6,облачно; без осадков,758,83,северный,2
Алушта,2016-01-04,2:00,-4,-6,пасмурно; без осадков,761,74,северо-восточный,2
Алушта,2016-01-04,8:00,-1,-3,пасмурно; без осадков,758,80,северо-восточный,3
Алушта,2016-01-04,14:00,-1,-3,пасмурно; без осадков,756,78,северо-восточный,2
Алушта,2016-01-04,20:00,-5,-7,малооблачно; без осадков,756,79,северный,2
Бахчисарай,2016-01-04,2:00,-7,-9,облачно; без осадков,744,62,северо-восточный,2
Бахчисарай,2016-01-04,8:00,-4,-6,облачно; без осадков,740,70,северный,2
Бахчисарай,2016-01-04,14:00,0,-2,малооблачно; без осадков,738,57,северо-восточный,3
Бахчисарай,2016-01-04,20:00,-5,-7,малооблачно; без осадков,738,70,северо-восточный,1
Джанкой,2016-01-04,2:00,-9,-11,облачно; без осадков,765,75,северный,4
Джанкой,2016-01-04,8:00,-5,-7,пасмурно; без осадков,762,67,северо-восточный,5
Джанкой,2016-01-04,14:00,-2,-4,облачно; без осадков,760,53,северо-восточный,5
Джанкой,2016-01-04,20:00,-4,-6,пасмурно; без осадков,758,69,северо-восточный,4
Евпатория,2016-01-04,2:00,-5,-7,пасмурно; без осадков,764,79,северо-восточный,9
Евпатория,2016-01-04,8:00,-3,-5,облачно; без осадков,761,77,северо-восточный,10
Евпатория,2016-01-04,14:00,-1,-3,ясно; без осадков,758,68,северо-восточный,10
Евпатория,2016-01-04,20:00,-2,-4,ясно; без осадков,758,79,северо-восточный,9
Саки,2016-01-04,2:00,-7,-9,пасмурно; без осадков,764,61,северо-восточный,6
Саки,2016-01-04,8:00,-5,-7,облачно; без осадков,761,60,северо-восточный,7
Саки,2016-01-04,14:00,-2,-4,малооблачно; без осадков,758,50,северо-восточный,8
Саки,2016-01-04,20:00,-5,-7,ясно; без осадков,758,71,северо-восточный,6
Керчь,2016-01-04,2:00,-6,-8,малооблачно; без осадков,767,79,восточный,5
Керчь,2016-01-04,8:00,-6,-8,малооблачно; без осадков,764,77,восточный,8
Керчь,2016-01-04,14:00,-5,-7,пасмурно; без осадков,761,73,северо-восточный,10
Керчь,2016-01-04,20:00,-5,-7,ясно; без осадков,759,75,северо-восточный,9
Красноперекопск,2016-01-04,2:00,-9,-11,пасмурно; без осадков,766,72,северо-восточный,4
Красноперекопск,2016-01-04,8:00,-9,-11,малооблачно; без осадков,763,75,северо-восточный,6
Красноперекопск,2016-01-04,14:00,-3,-5,пасмурно; без осадков,760,58,северо-восточный,6
Красноперекопск,2016-01-04,20:00,-7,-9,ясно; без осадков,759,75,северо-восточный,4
Щелкино,2016-01-04,2:00,-8,-10,пасмурно; без осадков,763,65,восточный,4
Щелкино,2016-01-04,8:00,-4,-6,пасмурно; без осадков,760,74,восточный,8
Щелкино,2016-01-04,14:00,-3,-5,пасмурно; без осадков,757,74,северо-восточный,9
Щелкино,2016-01-04,20:00,-3,-5,облачно; без осадков,755,75,северо-восточный,8
Симферополь,2016-01-04,2:00,-8,-10,пасмурно; без осадков,741,69,северо-восточный,3
Симферополь,2016-01-04,8:00,-5,-7,пасмурно; без осадков,737,71,северо-восточный,5
Симферополь,2016-01-04,14:00,-2,-4,ясно; без осадков,735,59,северо-восточный,5
Симферополь,2016-01-04,20:00,-6,-8,ясно; без осадков,734,73,восточный,4
Судак,2016-01-04,2:00,-3,-5,пасмурно; без осадков,762,73,северо-восточный,4
Судак,2016-01-04,8:00,-2,-4,пасмурно; без осадков,758,79,северо-восточный,7
Судак,2016-01-04,14:00,-2,-4,пасмурно; без осадков,756,71,северный,7
Судак,2016-01-04,20:00,-3,-5,облачно; без осадков,755,80,северный,5
Феодосия,2016-01-04,2:00,-3,-5,пасмурно; без осадков,765,74,северо-восточный,6
Феодосия,2016-01-04,8:00,-3,-5,пасмурно; без осадков,762,69,северо-восточный,8
Феодосия,2016-01-04,14:00,-3,-5,пасмурно; без осадков,759,74,северо-восточный,7
Феодосия,2016-01-04,20:00,-4,-6,ясно; без осадков,758,77,северо-восточный,5
Армянск,2016-01-04,2:00,-8,-10,облачно; без осадков,765,72,северо-восточный,5
Армянск,2016-01-04,8:00,-8,-10,облачно; без осадков,762,78,северо-восточный,8
Армянск,2016-01-04,14:00,-4,-6,облачно; без осадков,760,70,северо-восточный,7
Армянск,2016-01-04,20:00,-5,-7,малооблачно; без осадков,758,76,северо-восточный,6
Черноморское,2016-01-04,2:00,-7,-9,ясно; без осадков,764,71,северо-восточный,5
Черноморское,2016-01-04,8:00,-5,-7,облачно; без осадков,761,77,северо-восточный,7
Черноморское,2016-01-04,14:00,-1,-3,облачно; без осадков,758,60,северо-восточный,6
Черноморское,2016-01-04,20:00,-4,-6,ясно; без осадков,758,71,северо-восточный,5
Севастополь,2016-01-04,2:00,-5,-7,пасмурно; без осадков,764,65,северо-восточный,3
Севастополь,2016-01-04,8:00,-3,-5,пасмурно; без осадков,760,70,северо-восточный,4
Севастополь,2016-01-04,14:00,0,2,пасмурно; без осадков,757,59,северный,4
Севастополь,2016-01-04,20:00,0,-2,малооблачно; без осадков,757,67,северный,1
Ялта,2016-01-05,2:00,-1,-3,малооблачно; без осадков,756,76,северный,2
Ялта,2016-01-05,8:00,-7,-9,малооблачно; без осадков,756,99,северный,3
Ялта,2016-01-05,20:00,-1,1,пасмурно; без осадков,754,89,северо-западный,1
Алушта,2016-01-05,2:00,-2,-4,малооблачно; без осадков,755,67,северо-западный,1
Алушта,2016-01-05,8:00,0,-2,ясно; без осадков,753,71,северо-восточный,1
Алушта,2016-01-05,20:00,1,3,пасмурно; без осадков,752,88,северо-западный,1
Бахчисарай,2016-01-05,2:00,-5,-7,малооблачно; без осадков,737,83,восточный,1
Бахчисарай,2016-01-05,8:00,-4,-6,ясно; без осадков,735,79,восточный,2
Бахчисарай,2016-01-05,20:00,0,2,пасмурно; без осадков,735,86,северо-восточный,1
Джанкой,2016-01-05,2:00,-3,-5,пасмурно; без осадков,757,76,северо-восточный,3
Джанкой,2016-01-05,8:00,-1,-3,пасмурно; без осадков,756,84,северо-восточный,4
Джанкой,2016-01-05,20:00,-1,-3,пасмурно; без осадков,755,87,северо-восточный,3
Евпатория,2016-01-05,2:00,-2,-4,малооблачно; без осадков,756,82,северо-восточный,7
Евпатория,2016-01-05,8:00,-1,-3,малооблачно; без осадков,755,91,северо-восточный,9
Евпатория,2016-01-05,20:00,-1,1,пасмурно; без осадков,755,89,северо-восточный,7
Саки,2016-01-05,2:00,-5,-7,малооблачно; без осадков,756,69,северо-восточный,4
Саки,2016-01-05,8:00,-3,-5,ясно; без осадков,755,82,северо-восточный,6
Саки,2016-01-05,20:00,0,-2,пасмурно; без осадков,754,85,северо-восточный,4
Керчь,2016-01-05,2:00,-4,-6,пасмурно; без осадков,758,86,северо-восточный,7
Керчь,2016-01-05,8:00,-3,-5,пасмурно; без осадков,757,89,северо-восточный,5
Керчь,2016-01-05,20:00,-1,1,пасмурно; снег,755,92,северный,6
Красноперекопск,2016-01-05,2:00,-5,-7,облачно; без осадков,758,78,северо-восточный,3
Красноперекопск,2016-01-05,8:00,-3,-5,пасмурно; без осадков,756,87,северо-восточный,5
Красноперекопск,2016-01-05,20:00,-2,-4,пасмурно; без осадков,755,88,северо-восточный,4
Щелкино,2016-01-05,2:00,-2,-4,пасмурно; без осадков,754,83,северо-восточный,7
Щелкино,2016-01-05,8:00,-2,-4,пасмурно; без осадков,753,87,северо-восточный,6
Щелкино,2016-01-05,20:00,-1,1,пасмурно; без осадков,752,87,северо-восточный,6
Симферополь,2016-01-05,2:00,-5,-7,малооблачно; без осадков,734,77,восточный,2
Симферополь,2016-01-05,8:00,-3,-5,ясно; без осадков,732,74,восточный,3
Симферополь,2016-01-05,20:00,0,-2,пасмурно; без осадков,731,93,северо-восточный,1
Судак,2016-01-05,2:00,-3,-5,малооблачно; без осадков,754,83,северный,4
Судак,2016-01-05,8:00,-2,-4,облачно; без осадков,753,89,северный,4
Судак,2016-01-05,20:00,-1,1,пасмурно; снег,752,90,северный,4
Феодосия,2016-01-05,2:00,-3,-5,ясно; без осадков,757,86,северный,4
Феодосия,2016-01-05,8:00,-2,-4,пасмурно; без осадков,755,91,северный,3
Феодосия,2016-01-05,20:00,-1,1,пасмурно; снег,755,92,северный,4
Армянск,2016-01-05,2:00,-4,-6,облачно; без осадков,757,81,северо-восточный,5
Армянск,2016-01-05,8:00,-3,-5,пасмурно; без осадков,755,87,северо-восточный,7
Армянск,2016-01-05,20:00,-2,-4,пасмурно; без осадков,755,88,северо-восточный,6
Черноморское,2016-01-05,2:00,-4,-6,малооблачно; без осадков,756,81,северо-восточный,5
Черноморское,2016-01-05,8:00,-2,-4,ясно; без осадков,754,88,северо-восточный,6
Черноморское,2016-01-05,20:00,0,-2,пасмурно; снег,754,87,восточный,4
Севастополь,2016-01-05,2:00,-1,-3,облачно; без осадков,756,79,северо-восточный,1
Севастополь,2016-01-05,8:00,-2,-4,ясно; без осадков,754,74,северо-восточный,2
Севастополь,2016-01-05,20:00,1,3,пасмурно; дождь,754,85,северо-восточный,2
Ялта,2016-01-06,2:00,1,3,пасмурно; без осадков,758,88,западный,1
Ялта,2016-01-06,8:00,-1,-3,малооблачно; без осадков,761,94,северо-западный,2
Ялта,2016-01-06,14:00,5,7,пасмурно; без осадков,758,94,северо-восточный,1
Ялта,2016-01-06,20:00,4,6,пасмурно; дождь,758,98,северо-восточный,2
Алушта,2016-01-06,2:00,2,4,пасмурно; без осадков,755,84,юго-западный,1
Алушта,2016-01-06,8:00,2,4,пасмурно; без осадков,758,85,северный,1
Алушта,2016-01-06,14:00,4,6,пасмурно; без осадков,757,96,северо-восточный,1
Алушта,2016-01-06,20:00,4,6,пасмурно; дождь,755,96,восточный,2
Бахчисарай,2016-01-06,2:00,0,2,пасмурно; без осадков,739,92,юго-восточный,1
Бахчисарай,2016-01-06,8:00,-1,1,пасмурно; без осадков,740,97,восточный,1
Бахчисарай,2016-01-06,14:00,4,6,пасмурно; без осадков,740,84,северный,1
Бахчисарай,2016-01-06,20:00,1,3,пасмурно; без осадков,737,90,восточный,2
Джанкой,2016-01-06,2:00,-2,-4,облачно; без осадков,758,91,северо-восточный,2
Джанкой,2016-01-06,8:00,-1,-3,пасмурно; без осадков,760,86,восточный,3
Джанкой,2016-01-06,14:00,1,3,пасмурно; без осадков,759,78,восточный,3
Джанкой,2016-01-06,20:00,-1,1,пасмурно; без осадков,758,95,северо-восточный,4
Евпатория,2016-01-06,2:00,0,2,пасмурно; без осадков,758,91,восточный,3
Евпатория,2016-01-06,8:00,2,4,малооблачно; без осадков,759,93,северо-восточный,3
Евпатория,2016-01-06,14:00,3,5,пасмурно; без осадков,758,81,северо-восточный,5
Евпатория,2016-01-06,20:00,1,3,пасмурно; без осадков,757,92,северо-восточный,6
Саки,2016-01-06,2:00,0,-2,пасмурно; без осадков,757,88,северо-восточный,1
Саки,2016-01-06,8:00,0,-2,облачно; без осадков,758,91,северо-восточный,2
Саки,2016-01-06,14:00,3,5,пасмурно; без осадков,758,80,северо-восточный,3
Саки,2016-01-06,20:00,0,2,пасмурно; без осадков,756,92,северо-восточный,3
Керчь,2016-01-06,2:00,0,-2,пасмурно; без осадков,758,90,северо-западный,4
Керчь,2016-01-06,8:00,0,-2,облачно; без осадков,761,81,северо-западный,2
Керчь,2016-01-06,14:00,0,2,пасмурно; без осадков,761,88,восточный,3
Керчь,2016-01-06,20:00,1,3,пасмурно; без осадков,759,92,северо-восточный,5
Красноперекопск,2016-01-06,2:00,-1,-3,пасмурно; без осадков,758,88,восточный,2
Красноперекопск,2016-01-06,8:00,-1,-3,облачно; без осадков,760,90,восточный,3
Красноперекопск,2016-01-06,14:00,-1,1,пасмурно; без осадков,759,76,северо-восточный,3
Красноперекопск,2016-01-06,20:00,0,-2,пасмурно; без осадков,758,93,северо-восточный,5
