Ялта,2014-01-01,1:00,3,5,пасмурно; без осадков,769,85,северо-восточный,5
Черноморское,2014-01-02,13:00,5,7,облачно; без осадков,767,84,северо-восточный,4
Черноморское,2014-01-02,19:00,4,6,малооблачно; без осадков,767,85,восточный,6
Севастополь,2014-01-02,1:00,4,6,облачно; без осадков,768,88,северо-восточный,4
Севастополь,2014-01-02,7:00,4,6,облачно; без осадков,768,86,восточный,4
Севастополь,2014-01-02,13:00,8,10,малооблачно; без осадков,767,77,северо-восточный,3
Севастополь,2014-01-02,19:00,5,7,ясно; без осадков,767,84,восточный,4
Ялта,2014-01-03,1:00,3,5,малооблачно; без осадков,767,86,восточный,2
Ялта,2014-01-03,7:00,4,6,облачно; без осадков,767,90,восточный,2
Ялта,2014-01-03,13:00,7,9,облачно; без осадков,767,75,северо-восточный,1
Ялта,2014-01-03,19:00,6,8,облачно; без осадков,767,86,восточный,2
Алушта,2014-01-03,1:00,2,4,малооблачно; без осадков,765,89,восточный,2
Алушта,2014-01-03,7:00,3,5,малооблачно; без осадков,765,91,юго-восточный,1
Алушта,2014-01-03,13:00,7,9,облачно; без осадков,765,76,северо-восточный,1
Алушта,2014-01-03,19:00,5,7,облачно; без осадков,765,89,восточный,2
Бахчисарай,2014-01-03,1:00,0,2,малооблачно; без осадков,749,89,восточный,2
Бахчисарай,2014-01-03,7:00,1,3,малооблачно; без осадков,749,91,восточный,2
Бахчисарай,2014-01-03,13:00,6,8,малооблачно; без осадков,749,73,северный,2
Бахчисарай,2014-01-03,19:00,3,5,облачно; без осадков,749,90,восточный,2
Джанкой,2014-01-03,1:00,1,3,облачно; без осадков,768,92,северо-восточный,2
Джанкой,2014-01-03,7:00,1,3,облачно; без осадков,768,94,северо-восточный,2
Джанкой,2014-01-03,13:00,5,7,облачно; без осадков,768,82,северо-восточный,2
Джанкой,2014-01-03,19:00,2,4,пасмурно; без осадков,768,97,восточный,2
Евпатория,2014-01-03,1:00,2,4,малооблачно; без осадков,768,91,северо-восточный,3
Евпатория,2014-01-03,7:00,2,4,малооблачно; без осадков,768,93,северо-восточный,3
Евпатория,2014-01-03,13:00,6,8,ясно; без осадков,768,79,северо-восточный,3
Евпатория,2014-01-03,19:00,5,7,малооблачно; без осадков,768,87,северо-восточный,4
Саки,2014-01-03,1:00,1,3,малооблачно; без осадков,767,93,северо-восточный,2
Саки,2014-01-03,7:00,1,3,малооблачно; без осадков,767,93,северо-восточный,2
Саки,2014-01-03,13:00,6,8,ясно; без осадков,767,75,северный,2
Саки,2014-01-03,19:00,4,6,малооблачно; без осадков,767,90,северо-восточный,3
Керчь,2014-01-03,1:00,5,7,пасмурно; без осадков,768,84,восточный,3
Керчь,2014-01-03,7:00,5,7,пасмурно; без осадков,768,85,восточный,3
Керчь,2014-01-03,13:00,6,8,пасмурно; без осадков,768,81,восточный,2
Керчь,2014-01-03,19:00,6,8,пасмурно; без осадков,768,82,восточный,3
Красноперекопск,2014-01-03,1:00,1,3,пасмурно; без осадков,768,92,северо-восточный,2
Красноперекопск,2014-01-03,7:00,1,3,облачно; без осадков,768,96,северо-восточный,2
Красноперекопск,2014-01-03,13:00,4,6,пасмурно; без осадков,768,81,северо-восточный,1
Красноперекопск,2014-01-03,19:00,0,2,облачно; без осадков,768,96,северо-восточный,3
Щелкино,2014-01-03,1:00,4,6,пасмурно; без осадков,765,86,восточный,3
Щелкино,2014-01-03,7:00,4,6,облачно; без осадков,765,90,северо-восточный,3
Щелкино,2014-01-03,13:00,5,7,облачно; без осадков,765,85,восточный,2
Щелкино,2014-01-03,19:00,5,7,пасмурно; без осадков,765,86,восточный,3
Симферополь,2014-01-03,1:00,0,-2,ясно; без осадков,745,94,восточный,1
Симферополь,2014-01-03,7:00,-1,1,ясно; без осадков,745,93,юго-восточный,1
Симферополь,2014-01-03,13:00,5,7,малооблачно; без осадков,745,71,северный,2
Симферополь,2014-01-03,19:00,2,4,пасмурно; без осадков,746,95,восточный,2
Судак,2014-01-03,1:00,2,4,малооблачно; без осадков,765,93,восточный,1
Судак,2014-01-03,7:00,2,4,малооблачно; без осадков,765,93,южный,1
Судак,2014-01-03,13:00,7,9,пасмурно; без осадков,765,83,северо-восточный,1
Судак,2014-01-03,19:00,5,7,облачно; без осадков,765,92,юго-восточный,1
Феодосия,2014-01-03,1:00,3,5,малооблачно; без осадков,768,91,восточный,1
Феодосия,2014-01-03,7:00,3,5,малооблачно; без осадков,768,93,южный,1
Феодосия,2014-01-03,13:00,7,9,пасмурно; без осадков,767,83,юго-восточный,1
Феодосия,2014-01-03,19:00,6,8,пасмурно; без осадков,768,89,юго-восточный,1
Армянск,2014-01-03,1:00,1,3,пасмурно; без осадков,767,91,северо-восточный,3
Армянск,2014-01-03,7:00,1,3,облачно; без осадков,767,95,северо-восточный,3
Армянск,2014-01-03,13:00,3,5,пасмурно; без осадков,767,82,северо-восточный,2
Армянск,2014-01-03,19:00,0,2,облачно; без осадков,767,96,северо-восточный,3
Черноморское,2014-01-03,1:00,4,6,облачно; без осадков,767,88,северо-восточный,5
Черноморское,2014-01-03,7:00,4,6,малооблачно; без осадков,767,90,северо-восточный,4
Черноморское,2014-01-03,13:00,4,6,малооблачно; без осадков,767,84,северо-восточный,4
Черноморское,2014-01-03,19:00,5,7,малооблачно; без осадков,767,84,северо-восточный,4
Севастополь,2014-01-03,1:00,4,6,малооблачно; без осадков,767,85,восточный,3
Севастополь,2014-01-03,7:00,5,7,малооблачно; без осадков,767,89,восточный,3
Севастополь,2014-01-03,13:00,7,9,малооблачно; без осадков,767,77,северо-восточный,2
Севастополь,2014-01-03,19:00,7,9,малооблачно; без осадков,767,85,северо-восточный,3
Ялта,2014-01-04,1:00,5,7,малооблачно; без осадков,768,87,северо-восточный,1
Ялта,2014-01-04,7:00,5,7,облачно; без осадков,768,91,восточный,2
Ялта,2014-01-04,13:00,7,9,облачно; без осадков,767,83,северный,1
Ялта,2014-01-04,19:00,5,7,малооблачно; без осадков,769,88,юго-восточный,2
Алушта,2014-01-04,1:00,4,6,облачно; без осадков,766,91,восточный,1
Алушта,2014-01-04,7:00,4,6,облачно; без осадков,767,92,восточный,2
Алушта,2014-01-04,13:00,7,9,пасмурно; без осадков,766,84,северный,1
Алушта,2014-01-04,19:00,4,6,малооблачно; без осадков,767,89,восточный,1
Бахчисарай,2014-01-04,1:00,3,5,облачно; без осадков,749,92,северо-восточный,1
Бахчисарай,2014-01-04,7:00,2,4,облачно; без осадков,750,95,восточный,2
Бахчисарай,2014-01-04,13:00,5,7,облачно; без осадков,749,81,северный,2
Бахчисарай,2014-01-04,19:00,2,4,малооблачно; без осадков,750,88,восточный,2
Джанкой,2014-01-04,1:00,2,4,пасмурно; без осадков,769,98,северный,1
Джанкой,2014-01-04,7:00,2,4,пасмурно; без осадков,769,98,восточный,2
Джанкой,2014-01-04,13:00,5,7,облачно; без осадков,769,85,северный,1
Джанкой,2014-01-04,19:00,2,4,малооблачно; без осадков,770,91,северо-восточный,1
Евпатория,2014-01-04,1:00,4,6,пасмурно; без осадков,769,96,северо-восточный,3
Евпатория,2014-01-04,7:00,3,5,пасмурно; без осадков,770,98,северо-восточный,3
Евпатория,2014-01-04,13:00,6,8,облачно; без осадков,769,81,северо-восточный,3
Евпатория,2014-01-04,19:00,4,6,малооблачно; без осадков,770,85,восточный,3
Саки,2014-01-04,1:00,3,5,облачно; без осадков,768,96,северо-восточный,2
Саки,2014-01-04,7:00,3,5,пасмурно; без осадков,769,98,северо-восточный,3
Саки,2014-01-04,13:00,6,8,облачно; без осадков,768,80,северо-восточный,3
Саки,2014-01-04,19:00,3,5,малооблачно; без осадков,769,87,восточный,3
Керчь,2014-01-04,1:00,5,7,облачно; без осадков,769,88,северо-восточный,3
Керчь,2014-01-04,7:00,3,5,пасмурно; без осадков,770,89,северо-восточный,4
Керчь,2014-01-04,13:00,5,7,облачно; без осадков,769,78,северо-восточный,2
Керчь,2014-01-04,19:00,4,6,ясно; без осадков,770,88,северный,3
Красноперекопск,2014-01-04,1:00,1,3,пасмурно; без осадков,769,99,северо-восточный,1
Красноперекопск,2014-01-04,7:00,1,3,пасмурно; без осадков,770,99,восточный,1
Красноперекопск,2014-01-04,13:00,4,6,малооблачно; без осадков,769,83,северо-восточный,1
Красноперекопск,2014-01-04,19:00,1,3,малооблачно; без осадков,770,93,восточный,2
Щелкино,2014-01-04,1:00,5,7,пасмурно; без осадков,766,90,северо-восточный,2
Щелкино,2014-01-04,7:00,4,6,пасмурно; без осадков,767,90,северо-восточный,3
Щелкино,2014-01-04,13:00,5,7,облачно; без осадков,766,82,северо-восточный,1
Щелкино,2014-01-04,19:00,3,5,малооблачно; без осадков,767,90,северный,2
Симферополь,2014-01-04,1:00,1,3,малооблачно; без осадков,746,97,северо-восточный,1
Симферополь,2014-01-04,7:00,1,3,облачно; без осадков,746,98,восточный,2
Симферополь,2014-01-04,13:00,5,7,пасмурно; без осадков,746,82,северный,2
Симферополь,2014-01-04,19:00,0,2,ясно; без осадков,747,90,восточный,2
Судак,2014-01-04,1:00,4,6,облачно; без осадков,766,94,восточный,1
Судак,2014-01-04,7:00,3,5,облачно; без осадков,767,94,северо-восточный,1
Судак,2014-01-04,13:00,6,8,пасмурно; без осадков,766,91,северо-западный,1
Судак,2014-01-04,19:00,3,5,малооблачно; без осадков,767,90,западный,1
Феодосия,2014-01-04,1:00,4,6,пасмурно; без осадков,769,94,северный,1
Феодосия,2014-01-04,7:00,3,5,пасмурно; без осадков,769,95,северо-восточный,1
Феодосия,2014-01-04,13:00,6,8,пасмурно; без осадков,768,87,северо-западный,1
Феодосия,2014-01-04,19:00,3,5,малооблачно; без осадков,770,92,северо-западный,1
Армянск,2014-01-04,1:00,1,3,пасмурно; без осадков,768,99,северо-восточный,1
Армянск,2014-01-04,7:00,0,2,пасмурно; без осадков,769,99,восточный,1
Армянск,2014-01-04,13:00,4,6,малооблачно; без осадков,768,85,северо-восточный,1
Армянск,2014-01-04,19:00,2,4,малооблачно; без осадков,769,92,восточный,2
Черноморское,2014-01-04,1:00,4,6,пасмурно; без осадков,768,92,северо-восточный,4
Черноморское,2014-01-04,7:00,3,5,пасмурно; без осадков,769,95,восточный,4
Черноморское,2014-01-04,13:00,4,6,малооблачно; без осадков,768,85,восточный,4
Черноморское,2014-01-04,19:00,5,7,малооблачно; без осадков,768,84,восточный,3
Севастополь,2014-01-04,1:00,6,8,облачно; без осадков,768,89,северо-восточный,2
Севастополь,2014-01-04,7:00,6,8,облачно; без осадков,769,92,восточный,3
Севастополь,2014-01-04,13:00,8,10,облачно; без осадков,768,81,северо-восточный,2
Севастополь,2014-01-04,19:00,7,9,облачно; без осадков,769,86,восточный,3
Ялта,2014-01-05,1:00,5,7,облачно; без осадков,769,90,юго-восточный,2
Ялта,2014-01-05,7:00,6,8,пасмурно; без осадков,769,89,восточный,3
Ялта,2014-01-05,13:00,8,10,пасмурно; без осадков,767,80,юго-восточный,2
Ялта,2014-01-05,19:00,6,8,облачно; без осадков,767,88,восточный,3
Алушта,2014-01-05,1:00,3,5,малооблачно; без осадков,767,89,восточный,1
Алушта,2014-01-05,7:00,4,6,облачно; без осадков,767,89,восточный,2
Алушта,2014-01-05,13:00,8,10,пасмурно; без осадков,765,81,юго-восточный,1
Алушта,2014-01-05,19:00,5,7,облачно; без осадков,766,91,юго-восточный,3
Бахчисарай,2014-01-05,1:00,2,4,облачно; без осадков,750,93,юго-восточный,2
Бахчисарай,2014-01-05,7:00,4,6,пасмурно; без осадков,751,91,восточный,3
Бахчисарай,2014-01-05,13:00,7,9,пасмурно; без осадков,749,78,юго-восточный,1
Бахчисарай,2014-01-05,19:00,4,6,облачно; без осадков,749,89,юго-восточный,3
Джанкой,2014-01-05,1:00,1,3,пасмурно; без осадков,770,91,восточный,1
Джанкой,2014-01-05,7:00,2,4,облачно; без осадков,770,92,восточный,3
Джанкой,2014-01-05,13:00,6,8,пасмурно; без осадков,768,81,восточный,2
Джанкой,2014-01-05,19:00,3,5,малооблачно; без осадков,768,92,восточный,3
Евпатория,2014-01-05,1:00,5,7,пасмурно; без осадков,770,90,юго-восточный,2
Евпатория,2014-01-05,7:00,5,7,пасмурно; без осадков,770,91,восточный,4
Евпатория,2014-01-05,13:00,7,9,пасмурно; без осадков,768,83,юго-восточный,3
Евпатория,2014-01-05,19:00,6,8,малооблачно; без осадков,768,88,юго-восточный,5
Саки,2014-01-05,1:00,4,6,облачно; без осадков,769,93,юго-восточный,2
Саки,2014-01-05,7:00,5,7,пасмурно; без осадков,769,92,восточный,3
Саки,2014-01-05,13:00,8,10,пасмурно; без осадков,767,81,южный,2
Саки,2014-01-05,19:00,5,7,малооблачно; без осадков,767,90,юго-восточный,4
Керчь,2014-01-05,1:00,3,5,ясно; без осадков,770,88,северо-западный,1
Керчь,2014-01-05,7:00,3,5,малооблачно; без осадков,770,90,северный,3
Керчь,2014-01-05,13:00,5,7,ясно; без осадков,769,79,восточный,2
Керчь,2014-01-05,19:00,5,7,ясно; без осадков,770,87,юго-восточный,2
Красноперекопск,2014-01-05,1:00,1,3,пасмурно; без осадков,770,93,восточный,2
Красноперекопск,2014-01-05,7:00,1,3,облачно; без осадков,770,94,восточный,4
Красноперекопск,2014-01-05,13:00,5,7,облачно; без осадков,768,81,восточный,3
Красноперекопск,2014-01-05,19:00,3,5,малооблачно; без осадков,768,92,восточный,3
Щелкино,2014-01-05,1:00,2,4,малооблачно; без осадков,767,88,северо-западный,1
Щелкино,2014-01-05,7:00,2,4,облачно; без осадков,767,90,северный,3
Щелкино,2014-01-05,13:00,4,6,малооблачно; без осадков,766,83,восточный,2
Щелкино,2014-01-05,19:00,4,6,ясно; без осадков,766,88,юго-восточный,3
Симферополь,2014-01-05,1:00,0,2,малооблачно; без осадков,747,95,юго-восточный,1
Симферополь,2014-01-05,7:00,2,4,пасмурно; без осадков,747,91,восточный,2
Симферополь,2014-01-05,13:00,7,9,пасмурно; без осадков,746,77,западный,1
Симферополь,2014-01-05,19:00,3,5,малооблачно; без осадков,746,93,юго-восточный,2
Судак,2014-01-05,1:00,2,4,малооблачно; без осадков,767,84,западный,1
Судак,2014-01-05,7:00,3,5,малооблачно; без осадков,767,86,восточный,1
Судак,2014-01-05,13:00,7,9,облачно; без осадков,766,85,юго-восточный,2
Судак,2014-01-05,19:00,4,6,облачно; без осадков,766,96,юго-восточный,3
Феодосия,2014-01-05,1:00,2,4,малооблачно; без осадков,770,87,северо-западный,1
Феодосия,2014-01-05,7:00,2,4,малооблачно; без осадков,770,88,северный,1
Феодосия,2014-01-05,13:00,6,8,малооблачно; без осадков,768,84,юго-восточный,2
Феодосия,2014-01-05,19:00,4,6,малооблачно; без осадков,769,93,юго-восточный,3
Армянск,2014-01-05,1:00,1,3,пасмурно; без осадков,769,92,юго-восточный,2
Армянск,2014-01-05,7:00,1,3,облачно; без осадков,769,93,восточный,4
Армянск,2014-01-05,13:00,5,7,облачно; без осадков,767,82,восточный,4
Армянск,2014-01-05,19:00,3,5,малооблачно; без осадков,767,92,восточный,4
Черноморское,2014-01-05,1:00,6,8,облачно; без осадков,768,87,юго-восточный,4
Черноморское,2014-01-05,7:00,5,7,облачно; без осадков,768,90,восточный,5
Черноморское,2014-01-05,13:00,6,8,пасмурно; без осадков,767,88,юго-восточный,4
Черноморское,2014-01-05,19:00,6,8,облачно; без осадков,767,87,юго-восточный,6
Севастополь,2014-01-05,1:00,7,9,облачно; без осадков,769,90,юго-восточный,2
Севастополь,2014-01-05,7:00,8,10,пасмурно; без осадков,769,89,восточный,4
Севастополь,2014-01-05,13:00,8,10,пасмурно; без осадков,767,81,юго-восточный,3
Севастополь,2014-01-05,19:00,7,9,облачно; без осадков,767,85,юго-восточный,5
Ялта,2014-01-06,1:00,6,8,облачно; без осадков,767,88,юго-восточный,4
Ялта,2014-01-06,7:00,6,8,облачно; без осадков,767,89,восточный,3
Ялта,2014-01-06,13:00,9,11,малооблачно; без осадков,766,79,юго-восточный,2
Ялта,2014-01-06,19:00,6,8,ясно; без осадков,766,91,юго-восточный,3
Алушта,2014-01-06,1:00,5,7,облачно; без осадков,765,91,юго-восточный,3
Алушта,2014-01-06,7:00,5,7,облачно; без осадков,765,91,юго-восточный,3
Алушта,2014-01-06,13:00,9,11,малооблачно; без осадков,764,78,юго-восточный,2
Алушта,2014-01-06,19:00,5,7,малооблачно; без осадков,764,92,южный,3
Бахчисарай,2014-01-06,1:00,4,6,облачно; без осадков,749,90,юго-восточный,3
Бахчисарай,2014-01-06,7:00,3,5,пасмурно; без осадков,749,90,юго-восточный,3
Бахчисарай,2014-01-06,13:00,8,10,малооблачно; без осадков,747,75,юго-восточный,2
Бахчисарай,2014-01-06,19:00,4,6,ясно; без осадков,748,91,юго-восточный,3
Джанкой,2014-01-06,1:00,2,4,облачно; без осадков,767,96,юго-восточный,3
Джанкой,2014-01-06,7:00,1,3,облачно; без осадков,767,96,юго-восточный,1
Джанкой,2014-01-06,13:00,7,9,ясно; без осадков,766,81,юго-восточный,1
Джанкой,2014-01-06,19:00,4,6,ясно; без осадков,766,94,южный,2
Евпатория,2014-01-06,1:00,6,8,пасмурно; без осадков,767,88,юго-восточный,5
Евпатория,2014-01-06,7:00,5,7,облачно; без осадков,767,91,юго-восточный,5
Евпатория,2014-01-06,13:00,8,10,ясно; без осадков,766,82,юго-восточный,5
Евпатория,2014-01-06,19:00,6,8,малооблачно; без осадков,766,92,южный,6
Саки,2014-01-06,1:00,5,7,пасмурно; без осадков,767,90,юго-восточный,4
Саки,2014-01-06,7:00,5,7,облачно; без осадков,767,91,юго-восточный,4
Саки,2014-01-06,13:00,9,11,малооблачно; без осадков,765,77,южный,3
Саки,2014-01-06,19:00,5,7,ясно; без осадков,766,91,южный,5
Керчь,2014-01-06,1:00,5,7,облачно; без осадков,769,90,юго-восточный,3
Керчь,2014-01-06,7:00,6,8,пасмурно; без осадков,769,86,юго-восточный,4
Керчь,2014-01-06,13:00,7,9,пасмурно; без осадков,767,84,южный,5
