Ялта,2013-01-01,1:00,5,7,ясно; без осадков,761,83,северо-восточный,1
Бахчисарай,2013-01-02,7:00,-1,1,малооблачно; без осадков,752,86,юго-восточный,2
Бахчисарай,2013-01-02,19:00,-1,1,ясно; без осадков,755,88,юго-восточный,3
Джанкой,2013-01-02,1:00,0,-2,ясно; без осадков,767,93,юго-восточный,1
Джанкой,2013-01-02,7:00,-1,1,ясно; без осадков,768,94,южный,1
Джанкой,2013-01-02,19:00,0,2,малооблачно; без осадков,770,95,юго-восточный,2
Евпатория,2013-01-02,1:00,4,6,малооблачно; без осадков,767,84,южный,3
Евпатория,2013-01-02,7:00,4,6,облачно; без осадков,767,84,южный,4
Евпатория,2013-01-02,19:00,1,3,облачно; без осадков,770,87,юго-восточный,4
Саки,2013-01-02,1:00,2,4,ясно; без осадков,767,86,южный,2
Саки,2013-01-02,7:00,2,4,малооблачно; без осадков,767,87,юго-восточный,3
Саки,2013-01-02,19:00,-1,1,малооблачно; без осадков,769,89,юго-восточный,3
Керчь,2013-01-02,1:00,2,4,ясно; без осадков,768,86,северо-восточный,1
Керчь,2013-01-02,7:00,2,4,малооблачно; без осадков,768,92,восточный,1
Керчь,2013-01-02,19:00,1,3,малооблачно; без осадков,770,84,южный,3
Красноперекопск,2013-01-02,1:00,-1,-3,ясно; без осадков,767,93,южный,2
Красноперекопск,2013-01-02,7:00,-1,1,малооблачно; без осадков,768,93,южный,3
Красноперекопск,2013-01-02,19:00,1,3,пасмурно; без осадков,770,94,южный,3
Щелкино,2013-01-02,1:00,3,5,ясно; без осадков,768,86,юго-восточный,1
Щелкино,2013-01-02,7:00,3,5,малооблачно; без осадков,769,92,юго-восточный,2
Щелкино,2013-01-02,19:00,1,3,малооблачно; без осадков,770,87,южный,3
Симферополь,2013-01-02,1:00,-3,-5,ясно; без осадков,746,92,восточный,1
Симферополь,2013-01-02,7:00,-2,-4,ясно; без осадков,746,91,юго-восточный,1
Симферополь,2013-01-02,19:00,-2,-4,ясно; без осадков,747,92,юго-восточный,2
Судак,2013-01-02,1:00,1,3,ясно; без осадков,766,92,южный,1
Судак,2013-01-02,7:00,1,3,ясно; без осадков,767,91,южный,2
Судак,2013-01-02,19:00,0,2,ясно; без осадков,768,94,южный,2
Феодосия,2013-01-02,1:00,3,5,ясно; без осадков,767,90,южный,1
Феодосия,2013-01-02,7:00,2,4,ясно; без осадков,767,93,южный,1
Феодосия,2013-01-02,19:00,1,3,ясно; без осадков,769,91,южный,2
Армянск,2013-01-02,1:00,0,-2,ясно; без осадков,767,93,южный,2
Армянск,2013-01-02,7:00,0,2,малооблачно; без осадков,767,92,южный,3
Армянск,2013-01-02,19:00,2,4,пасмурно; без осадков,769,93,южный,3
Черноморское,2013-01-02,1:00,4,6,малооблачно; без осадков,767,83,южный,4
Черноморское,2013-01-02,7:00,4,6,пасмурно; без осадков,767,81,южный,6
Черноморское,2013-01-02,19:00,3,5,пасмурно; без осадков,769,86,южный,6
Севастополь,2013-01-02,1:00,2,4,ясно; без осадков,766,82,юго-восточный,2
Севастополь,2013-01-02,7:00,2,4,облачно; без осадков,767,83,юго-восточный,3
Севастополь,2013-01-02,19:00,1,3,малооблачно; без осадков,769,85,юго-восточный,4
Ялта,2013-01-03,1:00,4,6,ясно; без осадков,764,87,юго-восточный,1
Ялта,2013-01-03,7:00,6,8,облачно; без осадков,764,92,южный,2
Ялта,2013-01-03,19:00,5,7,малооблачно; без осадков,763,89,западный,5
Алушта,2013-01-03,1:00,4,6,ясно; без осадков,768,88,южный,1
Алушта,2013-01-03,7:00,5,7,облачно; без осадков,768,92,южный,2
Алушта,2013-01-03,19:00,5,7,малооблачно; без осадков,767,91,западный,4
Бахчисарай,2013-01-03,1:00,0,2,ясно; без осадков,755,85,южный,2
Бахчисарай,2013-01-03,7:00,2,4,пасмурно; без осадков,755,92,южный,3
Бахчисарай,2013-01-03,19:00,2,4,малооблачно; без осадков,754,92,западный,3
Джанкой,2013-01-03,1:00,1,3,малооблачно; без осадков,770,93,южный,2
Джанкой,2013-01-03,7:00,2,4,пасмурно; без осадков,770,94,южный,3
Джанкой,2013-01-03,19:00,2,4,ясно; без осадков,768,94,западный,3
Евпатория,2013-01-03,1:00,2,4,облачно; без осадков,770,84,южный,4
Евпатория,2013-01-03,7:00,3,5,пасмурно; без осадков,770,88,юго-западный,5
Евпатория,2013-01-03,19:00,3,5,ясно; без осадков,769,88,западный,4
Саки,2013-01-03,1:00,0,2,облачно; без осадков,770,85,южный,3
Саки,2013-01-03,7:00,2,4,пасмурно; без осадков,769,90,юго-западный,4
Саки,2013-01-03,19:00,2,4,ясно; без осадков,768,91,западный,3
Керчь,2013-01-03,1:00,1,3,малооблачно; без осадков,770,86,южный,3
Керчь,2013-01-03,7:00,1,3,пасмурно; без осадков,770,91,юго-западный,2
Керчь,2013-01-03,19:00,3,5,облачно; без осадков,767,86,западный,4
Красноперекопск,2013-01-03,1:00,2,4,пасмурно; без осадков,770,94,южный,3
Красноперекопск,2013-01-03,7:00,3,5,пасмурно; без осадков,770,94,юго-западный,3
Красноперекопск,2013-01-03,19:00,1,3,ясно; без осадков,769,91,западный,3
Щелкино,2013-01-03,1:00,1,3,ясно; без осадков,771,89,юго-западный,3
Щелкино,2013-01-03,7:00,0,2,пасмурно; без осадков,770,95,южный,2
Щелкино,2013-01-03,19:00,4,6,малооблачно; без осадков,768,87,западный,4
Симферополь,2013-01-03,1:00,-1,-3,ясно; без осадков,748,86,южный,2
Симферополь,2013-01-03,7:00,0,2,пасмурно; без осадков,748,94,южный,3
Симферополь,2013-01-03,19:00,0,2,ясно; без осадков,746,97,юго-западный,1
Судак,2013-01-03,1:00,-1,1,ясно; без осадков,769,91,юго-западный,1
Судак,2013-01-03,7:00,0,2,малооблачно; без осадков,768,91,южный,2
Судак,2013-01-03,19:00,5,7,ясно; без осадков,767,92,западный,4
Феодосия,2013-01-03,1:00,0,2,ясно; без осадков,770,89,юго-западный,2
Феодосия,2013-01-03,7:00,1,3,облачно; без осадков,769,93,юго-западный,2
Феодосия,2013-01-03,19:00,5,7,ясно; без осадков,767,90,западный,3
Армянск,2013-01-03,1:00,3,5,пасмурно; без осадков,770,94,южный,3
Армянск,2013-01-03,7:00,4,6,пасмурно; без осадков,769,93,юго-западный,3
Армянск,2013-01-03,19:00,1,3,ясно; без осадков,768,90,западный,4
Черноморское,2013-01-03,1:00,3,5,пасмурно; без осадков,770,86,юго-западный,5
Черноморское,2013-01-03,7:00,3,5,пасмурно; без осадков,769,86,юго-западный,6
Черноморское,2013-01-03,19:00,3,5,ясно; без осадков,769,81,западный,5
Севастополь,2013-01-03,1:00,2,4,малооблачно; без осадков,770,84,южный,3
Севастополь,2013-01-03,7:00,3,5,пасмурно; без осадков,769,90,юго-западный,4
Севастополь,2013-01-03,19:00,2,4,малооблачно; без осадков,768,88,западный,4
Ялта,2013-01-04,1:00,4,6,малооблачно; без осадков,762,88,западный,4
Ялта,2013-01-04,7:00,5,7,пасмурно; без осадков,758,82,юго-западный,4
Ялта,2013-01-04,19:00,6,8,пасмурно; без осадков,752,89,юго-западный,6
Алушта,2013-01-04,1:00,3,5,малооблачно; без осадков,765,89,западный,3
Алушта,2013-01-04,7:00,5,7,пасмурно; без осадков,762,82,юго-западный,4
Алушта,2013-01-04,19:00,5,7,пасмурно; без осадков,756,90,юго-западный,5
Бахчисарай,2013-01-04,1:00,0,2,облачно; без осадков,752,91,юго-западный,3
Бахчисарай,2013-01-04,7:00,2,4,облачно; без осадков,749,83,южный,5
Бахчисарай,2013-01-04,19:00,2,4,пасмурно; без осадков,743,90,юго-западный,5
Джанкой,2013-01-04,1:00,0,2,ясно; без осадков,767,93,юго-западный,3
Джанкой,2013-01-04,7:00,2,4,пасмурно; без осадков,764,89,южный,4
Джанкой,2013-01-04,19:00,2,4,пасмурно; без осадков,758,93,юго-западный,4
Евпатория,2013-01-04,1:00,2,4,ясно; без осадков,767,83,юго-западный,3
Евпатория,2013-01-04,7:00,4,6,малооблачно; без осадков,764,78,юго-западный,7
Евпатория,2013-01-04,19:00,4,6,пасмурно; без осадков,758,82,западный,6
Саки,2013-01-04,1:00,1,3,малооблачно; без осадков,767,88,юго-западный,2
Саки,2013-01-04,7:00,3,5,малооблачно; без осадков,763,81,южный,6
Саки,2013-01-04,19:00,3,5,пасмурно; без осадков,758,87,юго-западный,5
Керчь,2013-01-04,1:00,0,2,малооблачно; без осадков,767,89,западный,5
Керчь,2013-01-04,7:00,0,2,пасмурно; без осадков,764,85,юго-западный,2
Керчь,2013-01-04,19:00,5,7,пасмурно; без осадков,758,78,юго-западный,9
Красноперекопск,2013-01-04,1:00,-1,1,малооблачно; без осадков,767,91,юго-западный,3
Красноперекопск,2013-01-04,7:00,2,4,пасмурно; без осадков,763,88,южный,5
Красноперекопск,2013-01-04,19:00,2,4,пасмурно; без осадков,758,88,юго-западный,4
Щелкино,2013-01-04,1:00,0,2,малооблачно; без осадков,767,90,западный,5
Щелкино,2013-01-04,7:00,1,3,пасмурно; без осадков,764,85,юго-западный,2
Щелкино,2013-01-04,19:00,4,6,пасмурно; без осадков,758,84,юго-западный,8
Симферополь,2013-01-04,1:00,0,-2,облачно; без осадков,746,96,южный,2
Симферополь,2013-01-04,7:00,0,2,облачно; без осадков,742,86,южный,4
Симферополь,2013-01-04,19:00,0,2,пасмурно; без осадков,737,96,юго-западный,4
Судак,2013-01-04,1:00,1,3,ясно; без осадков,765,87,западный,3
Судак,2013-01-04,7:00,3,5,пасмурно; без осадков,762,79,южный,2
Судак,2013-01-04,19:00,2,4,пасмурно; без осадков,757,91,юго-западный,3
Феодосия,2013-01-04,1:00,1,3,ясно; без осадков,766,89,западный,4
Феодосия,2013-01-04,7:00,2,4,пасмурно; без осадков,763,82,южный,1
Феодосия,2013-01-04,19:00,3,5,пасмурно; без осадков,757,86,юго-западный,5
Армянск,2013-01-04,1:00,0,2,малооблачно; без осадков,767,89,юго-западный,3
Армянск,2013-01-04,7:00,2,4,пасмурно; без осадков,762,87,южный,6
Армянск,2013-01-04,19:00,2,4,пасмурно; без осадков,757,87,юго-западный,4
Черноморское,2013-01-04,1:00,4,6,облачно; без осадков,767,77,юго-западный,5
Черноморское,2013-01-04,7:00,5,7,облачно; без осадков,763,76,юго-западный,9
Черноморское,2013-01-04,19:00,5,7,пасмурно; без осадков,758,78,западный,9
Севастополь,2013-01-04,1:00,1,3,малооблачно; без осадков,767,84,западный,4
Севастополь,2013-01-04,7:00,2,4,облачно; без осадков,764,79,юго-западный,6
Севастополь,2013-01-04,19:00,4,6,пасмурно; без осадков,758,83,западный,7
Ялта,2013-01-05,1:00,6,8,пасмурно; без осадков,750,87,западный,7
Ялта,2013-01-05,7:00,5,7,пасмурно; без осадков,749,91,западный,5
Ялта,2013-01-05,19:00,4,6,малооблачно; без осадков,748,85,западный,5
Алушта,2013-01-05,1:00,5,7,облачно; без осадков,754,89,юго-западный,5
Алушта,2013-01-05,7:00,5,7,пасмурно; без осадков,753,92,западный,5
Алушта,2013-01-05,19:00,4,6,малооблачно; без осадков,752,88,западный,4
Бахчисарай,2013-01-05,1:00,1,3,пасмурно; без осадков,741,90,западный,6
Бахчисарай,2013-01-05,7:00,1,3,пасмурно; без осадков,740,93,западный,4
Бахчисарай,2013-01-05,19:00,1,3,облачно; без осадков,739,88,западный,3
Джанкой,2013-01-05,1:00,2,4,пасмурно; без осадков,755,94,юго-западный,4
Джанкой,2013-01-05,7:00,1,3,пасмурно; без осадков,755,96,западный,4
Джанкой,2013-01-05,19:00,2,4,малооблачно; без осадков,754,91,юго-западный,4
Евпатория,2013-01-05,1:00,3,5,пасмурно; без осадков,756,91,западный,7
Евпатория,2013-01-05,7:00,2,4,облачно; без осадков,755,91,западный,6
Евпатория,2013-01-05,19:00,3,5,облачно; без осадков,755,83,западный,5
Саки,2013-01-05,1:00,3,5,пасмурно; без осадков,755,92,западный,5
Саки,2013-01-05,7:00,2,4,облачно; без осадков,755,93,западный,4
Саки,2013-01-05,19:00,3,5,малооблачно; без осадков,754,87,западный,3
Керчь,2013-01-05,1:00,3,5,облачно; без осадков,756,85,юго-западный,4
Керчь,2013-01-05,7:00,3,5,облачно; без осадков,754,84,юго-западный,5
Керчь,2013-01-05,19:00,3,5,ясно; без осадков,754,79,западный,5
Красноперекопск,2013-01-05,1:00,2,4,пасмурно; без осадков,755,95,западный,4
Красноперекопск,2013-01-05,7:00,1,3,пасмурно; без осадков,755,95,западный,5
Красноперекопск,2013-01-05,19:00,2,4,облачно; без осадков,754,90,юго-западный,3
Щелкино,2013-01-05,1:00,2,4,малооблачно; без осадков,756,86,юго-западный,4
Щелкино,2013-01-05,7:00,2,4,облачно; без осадков,755,88,западный,5
Щелкино,2013-01-05,19:00,2,4,ясно; без осадков,755,82,западный,5
Симферополь,2013-01-05,1:00,0,2,пасмурно; без осадков,734,94,юго-западный,4
Симферополь,2013-01-05,7:00,-1,1,пасмурно; без осадков,734,97,юго-западный,3
Симферополь,2013-01-05,19:00,-1,1,облачно; без осадков,732,95,юго-западный,2
Судак,2013-01-05,1:00,1,3,пасмурно; без осадков,755,90,юго-западный,3
Судак,2013-01-05,7:00,2,4,пасмурно; без осадков,753,92,юго-западный,4
Судак,2013-01-05,19:00,1,3,ясно; без осадков,752,90,западный,3
Феодосия,2013-01-05,1:00,2,4,облачно; без осадков,755,88,юго-западный,2
Феодосия,2013-01-05,7:00,2,4,облачно; без осадков,754,89,западный,4
Феодосия,2013-01-05,19:00,2,4,ясно; без осадков,753,88,западный,3
Армянск,2013-01-05,1:00,2,4,пасмурно; без осадков,755,95,западный,4
Армянск,2013-01-05,7:00,1,3,пасмурно; без осадков,754,94,западный,5
Армянск,2013-01-05,19:00,1,3,облачно; без осадков,753,90,западный,3
Черноморское,2013-01-05,1:00,3,5,пасмурно; без осадков,756,90,западный,9
Черноморское,2013-01-05,7:00,3,5,пасмурно; без осадков,755,87,северо-западный,9
Черноморское,2013-01-05,19:00,3,5,пасмурно; без осадков,754,80,западный,6
Севастополь,2013-01-05,1:00,4,6,пасмурно; без осадков,756,86,западный,8
Севастополь,2013-01-05,7:00,3,5,облачно; без осадков,755,89,западный,6
Севастополь,2013-01-05,19:00,4,6,малооблачно; без осадков,753,82,западный,5
Ялта,2013-01-07,1:00,0,2,облачно; без осадков,749,75,северо-западный,4
Ялта,2013-01-07,7:00,-1,1,облачно; без осадков,749,72,северный,3
Ялта,2013-01-07,13:00,0,2,облачно; без осадков,750,66,северный,3
Ялта,2013-01-07,19:00,-1,1,малооблачно; без осадков,752,65,северо-западный,5
Алушта,2013-01-07,1:00,0,2,облачно; без осадков,752,83,северо-западный,4
Алушта,2013-01-07,7:00,0,-2,облачно; без осадков,753,78,северный,4
Алушта,2013-01-07,13:00,0,2,малооблачно; без осадков,754,65,северный,4
Алушта,2013-01-07,19:00,0,-2,малооблачно; без осадков,756,69,северо-западный,5
Бахчисарай,2013-01-07,1:00,-1,-3,пасмурно; без осадков,740,81,северо-западный,4
Бахчисарай,2013-01-07,7:00,-2,-4,пасмурно; без осадков,740,78,северный,4
Бахчисарай,2013-01-07,13:00,-1,-3,облачно; без осадков,742,63,северный,4
Бахчисарай,2013-01-07,19:00,-3,-5,облачно; без осадков,744,67,северо-западный,5
Джанкой,2013-01-07,1:00,0,-2,пасмурно; без осадков,755,84,северо-западный,5
Джанкой,2013-01-07,7:00,-2,-4,малооблачно; без осадков,757,81,северо-западный,4
Джанкой,2013-01-07,13:00,0,-2,пасмурно; без осадков,758,63,северо-западный,5
Джанкой,2013-01-07,19:00,-1,-3,пасмурно; без осадков,759,70,северо-западный,4
Евпатория,2013-01-07,1:00,0,-2,пасмурно; без осадков,757,85,северный,5
Евпатория,2013-01-07,7:00,-1,-3,пасмурно; без осадков,758,84,северный,5
Евпатория,2013-01-07,13:00,0,-2,пасмурно; без осадков,758,62,северный,5
Евпатория,2013-01-07,19:00,-1,-3,облачно; без осадков,761,72,северо-западный,6
Саки,2013-01-07,1:00,0,-2,пасмурно; без осадков,756,86,северный,4
Саки,2013-01-07,7:00,-1,-3,пасмурно; без осадков,757,84,северный,5
Саки,2013-01-07,13:00,0,-2,пасмурно; без осадков,758,62,северный,5
Саки,2013-01-07,19:00,-1,-3,облачно; без осадков,760,71,северо-западный,5
Керчь,2013-01-07,1:00,-1,1,пасмурно; без осадков,755,87,северо-западный,5
Керчь,2013-01-07,7:00,0,-2,пасмурно; без осадков,755,85,северо-западный,6
Керчь,2013-01-07,13:00,0,-2,пасмурно; без осадков,756,79,северо-западный,8
Керчь,2013-01-07,19:00,0,-2,пасмурно; без осадков,757,72,северо-западный,8
Красноперекопск,2013-01-07,1:00,-1,-3,пасмурно; без осадков,756,78,северо-западный,4
Красноперекопск,2013-01-07,7:00,-3,-5,ясно; без осадков,757,78,северо-западный,4
Красноперекопск,2013-01-07,13:00,0,-2,пасмурно; без осадков,758,61,северо-западный,4
Красноперекопск,2013-01-07,19:00,-1,-3,пасмурно; без осадков,759,67,северо-западный,4
Щелкино,2013-01-07,1:00,0,-2,пасмурно; без осадков,755,88,северо-западный,5
Щелкино,2013-01-07,7:00,-1,-3,пасмурно; без осадков,757,86,северо-западный,6
Щелкино,2013-01-07,13:00,0,-2,облачно; без осадков,757,75,северо-западный,7
Щелкино,2013-01-07,19:00,-1,-3,пасмурно; без осадков,758,75,северо-западный,7
Симферополь,2013-01-07,1:00,-3,-5,пасмурно; без осадков,733,87,северо-западный,3
Симферополь,2013-01-07,7:00,-4,-6,пасмурно; без осадков,734,82,северный,3
Симферополь,2013-01-07,13:00,-3,-5,облачно; без осадков,735,62,северный,4
Симферополь,2013-01-07,19:00,-5,-7,облачно; без осадков,737,69,северо-западный,3
Судак,2013-01-07,1:00,0,2,пасмурно; без осадков,753,94,северо-западный,4
Судак,2013-01-07,7:00,0,-2,облачно; без осадков,754,85,северо-западный,5
Судак,2013-01-07,13:00,0,2,облачно; без осадков,755,66,северо-западный,6
Судак,2013-01-07,19:00,-2,-4,малооблачно; без осадков,757,76,северо-западный,4
Феодосия,2013-01-07,1:00,0,2,пасмурно; без осадков,754,92,северо-западный,4
Феодосия,2013-01-07,7:00,0,-2,пасмурно; без осадков,755,86,северо-западный,6
Феодосия,2013-01-07,13:00,0,2,облачно; без осадков,755,70,северо-западный,7
Феодосия,2013-01-07,19:00,-1,-3,облачно; без осадков,757,77,северо-западный,5
Армянск,2013-01-07,1:00,-2,-4,пасмурно; без осадков,755,78,северо-западный,4
Армянск,2013-01-07,7:00,-3,-5,ясно; без осадков,756,79,северо-западный,4
Армянск,2013-01-07,13:00,0,-2,пасмурно; без осадков,757,63,северо-западный,5
Армянск,2013-01-07,19:00,-1,-3,пасмурно; без осадков,758,69,северо-западный,4
Черноморское,2013-01-07,1:00,-1,1,пасмурно; без осадков,756,83,северный,7
Черноморское,2013-01-07,7:00,0,-2,пасмурно; без осадков,757,82,северный,7
Черноморское,2013-01-07,13:00,-1,1,пасмурно; без осадков,758,66,северный,7
Черноморское,2013-01-07,19:00,-1,1,облачно; без осадков,760,72,северо-западный,8
Севастополь,2013-01-07,1:00,1,3,облачно; без осадков,755,79,северный,5
Севастополь,2013-01-07,7:00,-1,1,пасмурно; без осадков,755,79,северный,5
Севастополь,2013-01-07,13:00,-1,1,облачно; без осадков,756,67,северный,5
Севастополь,2013-01-07,19:00,0,-2,облачно; без осадков,758,67,северо-западный,6
Ялта,2013-01-08,1:00,0,-2,ясно; без осадков,752,69,северо-западный,5
Ялта,2013-01-08,7:00,0,-2,малооблачно; без осадков,752,71,северо-западный,3
Ялта,2013-01-08,13:00,0,2,облачно; без осадков,753,68,западный,6
Ялта,2013-01-08,19:00,1,3,малооблачно; без осадков,753,71,западный,4
Алушта,2013-01-08,1:00,-1,-3,малооблачно; без осадков,756,72,северо-западный,4
Алушта,2013-01-08,7:00,-1,-3,облачно; без осадков,756,76,северо-западный,2
Алушта,2013-01-08,13:00,-1,1,пасмурно; без осадков,757,71,западный,5
Алушта,2013-01-08,19:00,-1,1,облачно; без осадков,757,77,западный,3
Бахчисарай,2013-01-08,1:00,-3,-5,малооблачно; без осадков,744,71,северо-западный,3
Бахчисарай,2013-01-08,7:00,-4,-6,облачно; без осадков,744,75,северо-западный,2
Бахчисарай,2013-01-08,13:00,-2,-4,пасмурно; без осадков,746,69,западный,4
Бахчисарай,2013-01-08,19:00,-1,-3,облачно; без осадков,746,78,западный,2
Джанкой,2013-01-08,1:00,-2,-4,облачно; без осадков,759,80,западный,3
Джанкой,2013-01-08,7:00,-2,-4,пасмурно; без осадков,759,83,северо-западный,3
Джанкой,2013-01-08,13:00,0,-2,пасмурно; без осадков,760,81,северо-западный,3
Джанкой,2013-01-08,19:00,0,-2,пасмурно; без осадков,761,90,северо-западный,3
Евпатория,2013-01-08,1:00,-1,-3,облачно; без осадков,761,71,северо-западный,4
Евпатория,2013-01-08,7:00,-1,-3,малооблачно; без осадков,761,76,северный,4
Евпатория,2013-01-08,13:00,-1,1,пасмурно; без осадков,761,69,северо-западный,5
Евпатория,2013-01-08,19:00,-1,1,пасмурно; без осадков,761,86,северный,5
Саки,2013-01-08,1:00,-1,-3,малооблачно; без осадков,760,72,северо-западный,3
Саки,2013-01-08,7:00,-2,-4,облачно; без осадков,760,78,северный,3
Саки,2013-01-08,13:00,0,-2,пасмурно; без осадков,761,70,северо-западный,4
Саки,2013-01-08,19:00,0,-2,пасмурно; без осадков,761,87,северный,4
Керчь,2013-01-08,1:00,0,-2,пасмурно; без осадков,757,79,северо-западный,9
Керчь,2013-01-08,7:00,0,-2,пасмурно; без осадков,757,79,северо-западный,7
Керчь,2013-01-08,13:00,0,-2,пасмурно; без осадков,758,82,северо-западный,6
Керчь,2013-01-08,19:00,-1,-3,пасмурно; без осадков,759,80,северо-западный,5
Красноперекопск,2013-01-08,1:00,-2,-4,пасмурно; без осадков,759,82,северо-западный,3
Красноперекопск,2013-01-08,7:00,-1,-3,пасмурно; без осадков,760,86,северо-западный,4
Красноперекопск,2013-01-08,13:00,0,-2,пасмурно; без осадков,760,87,северо-западный,5
Красноперекопск,2013-01-08,19:00,0,-2,пасмурно; без осадков,761,91,северо-западный,5
Щелкино,2013-01-08,1:00,-1,-3,пасмурно; без осадков,758,79,северо-западный,7
Щелкино,2013-01-08,7:00,-1,-3,пасмурно; без осадков,758,80,северо-западный,6
Щелкино,2013-01-08,13:00,0,-2,пасмурно; без осадков,759,83,северо-западный,5
Щелкино,2013-01-08,19:00,0,-2,пасмурно; без осадков,761,80,северо-западный,4
Симферополь,2013-01-08,1:00,-6,-8,малооблачно; без осадков,737,74,западный,1
Симферополь,2013-01-08,7:00,-6,-8,пасмурно; без осадков,737,81,северо-восточный,1
Симферополь,2013-01-08,13:00,-3,-5,пасмурно; без осадков,738,74,западный,3
Симферополь,2013-01-08,19:00,-3,-5,пасмурно; без осадков,739,87,западный,1
Судак,2013-01-08,1:00,-4,-6,облачно; без осадков,757,78,западный,4
Судак,2013-01-08,7:00,-4,-6,пасмурно; без осадков,757,83,западный,4
Судак,2013-01-08,13:00,0,-2,пасмурно; без осадков,758,76,западный,4
Судак,2013-01-08,19:00,-1,-3,пасмурно; без осадков,758,85,западный,3
Феодосия,2013-01-08,1:00,-2,-4,пасмурно; без осадков,757,80,северо-западный,6
Феодосия,2013-01-08,7:00,-3,-5,пасмурно; без осадков,757,83,северо-западный,5
