Ялта,2015-01-06,2:00,1,3,ясно; без осадков,757,75,северо-западный,5
Севастополь,2015-01-06,20:00,-1,-3,малооблачно; без осадков,759,78,северный,8
Ялта,2015-01-01,2:00,-1,1,малооблачно; без осадков,767,73,северный,7
Ялта,2015-01-01,8:00,-1,1,ясно; без осадков,767,65,северный,4
Ялта,2015-01-01,14:00,2,4,ясно; без осадков,767,56,юго-восточный,2
Ялта,2015-01-01,20:00,1,3,пасмурно; без осадков,768,76,юго-западный,3
Алушта,2015-01-01,2:00,-1,-3,облачно; без осадков,766,79,северный,6
Алушта,2015-01-01,8:00,-1,-3,малооблачно; без осадков,766,71,северо-западный,4
Алушта,2015-01-01,14:00,1,3,ясно; без осадков,764,47,северо-восточный,1
Алушта,2015-01-01,20:00,0,2,ясно; без осадков,766,31,западный,2
Бахчисарай,2015-01-01,2:00,-5,-7,пасмурно; без осадков,749,76,северный,4
Бахчисарай,2015-01-01,8:00,-5,-7,малооблачно; без осадков,749,76,северный,3
Бахчисарай,2015-01-01,14:00,-1,-3,ясно; без осадков,749,46,северный,3
Бахчисарай,2015-01-01,20:00,-5,-7,ясно; без осадков,750,41,восточный,1
Джанкой,2015-01-01,2:00,-7,-9,пасмурно; без осадков,770,73,северный,3
Джанкой,2015-01-01,8:00,-8,-10,ясно; без осадков,770,70,северо-западный,2
Джанкой,2015-01-01,14:00,-2,-4,ясно; без осадков,769,44,северо-западный,3
Джанкой,2015-01-01,20:00,-5,-7,ясно; без осадков,769,74,юго-западный,2
Евпатория,2015-01-01,2:00,-5,-7,малооблачно; без осадков,770,85,северный,8
Евпатория,2015-01-01,8:00,-6,-8,малооблачно; без осадков,770,84,северный,7
Евпатория,2015-01-01,14:00,-1,-3,ясно; без осадков,769,50,северный,5
Евпатория,2015-01-01,20:00,0,-2,ясно; без осадков,770,68,южный,1
Саки,2015-01-01,2:00,-6,-8,пасмурно; без осадков,770,65,северный,5
Саки,2015-01-01,8:00,-7,-9,облачно; без осадков,770,63,северный,4
Саки,2015-01-01,14:00,-1,-3,ясно; без осадков,768,40,северный,4
Саки,2015-01-01,20:00,-4,-6,ясно; без осадков,769,47,юго-восточный,1
Керчь,2015-01-01,2:00,-2,-4,пасмурно; без осадков,769,74,северный,7
Керчь,2015-01-01,8:00,-2,-4,пасмурно; без осадков,769,75,северный,6
Керчь,2015-01-01,14:00,-1,-3,пасмурно; без осадков,768,70,северный,5
Керчь,2015-01-01,20:00,-6,-8,ясно; без осадков,769,69,западный,3
Красноперекопск,2015-01-01,2:00,-10,-12,малооблачно; без осадков,772,74,северный,4
Красноперекопск,2015-01-01,8:00,-11,-13,ясно; без осадков,771,76,северный,2
Красноперекопск,2015-01-01,14:00,-3,-5,ясно; без осадков,769,48,северо-западный,2
Красноперекопск,2015-01-01,20:00,-5,-7,ясно; без осадков,769,81,западный,2
Щелкино,2015-01-01,2:00,-1,-3,пасмурно; без осадков,767,76,северный,8
Щелкино,2015-01-01,8:00,-2,-4,пасмурно; без осадков,767,75,северный,6
Щелкино,2015-01-01,14:00,-2,-4,облачно; без осадков,766,71,северный,6
Щелкино,2015-01-01,20:00,-2,-4,ясно; без осадков,766,66,западный,4
Симферополь,2015-01-01,2:00,-5,-7,пасмурно; без осадков,746,82,северо-восточный,6
Симферополь,2015-01-01,8:00,-6,-8,пасмурно; без осадков,746,81,северо-восточный,5
Симферополь,2015-01-01,14:00,-2,-4,ясно; без осадков,745,47,северный,3
Симферополь,2015-01-01,20:00,-5,-7,ясно; без осадков,746,36,юго-восточный,1
Судак,2015-01-01,2:00,-1,-3,пасмурно; без осадков,766,81,северный,9
Судак,2015-01-01,8:00,-2,-4,пасмурно; без осадков,766,84,северный,7
Судак,2015-01-01,14:00,0,-2,ясно; без осадков,765,54,северный,6
Судак,2015-01-01,20:00,-2,-4,ясно; без осадков,767,32,северо-западный,2
Феодосия,2015-01-01,2:00,-1,-3,пасмурно; без осадков,769,77,северный,7
Феодосия,2015-01-01,8:00,-1,-3,пасмурно; без осадков,769,76,северный,7
Феодосия,2015-01-01,14:00,-1,-3,малооблачно; без осадков,768,68,северо-западный,7
Феодосия,2015-01-01,20:00,-3,-5,ясно; без осадков,769,42,северо-западный,4
Армянск,2015-01-01,2:00,-11,-13,облачно; без осадков,771,79,северный,5
Армянск,2015-01-01,8:00,-10,-12,ясно; без осадков,770,76,северный,3
Армянск,2015-01-01,14:00,-4,-6,ясно; без осадков,768,55,северо-западный,2
Армянск,2015-01-01,20:00,-4,-6,ясно; без осадков,768,73,западный,3
Черноморское,2015-01-01,2:00,-6,-8,пасмурно; без осадков,770,80,северный,6
Черноморское,2015-01-01,8:00,-6,-8,облачно; без осадков,770,78,северный,5
Черноморское,2015-01-01,14:00,-2,-4,ясно; без осадков,769,61,северный,4
Черноморское,2015-01-01,20:00,-3,-5,ясно; без осадков,768,81,западный,3
Севастополь,2015-01-01,2:00,-3,-5,облачно; без осадков,768,77,северный,7
Севастополь,2015-01-01,8:00,-3,-5,ясно; без осадков,769,78,северный,6
Севастополь,2015-01-01,14:00,-1,1,ясно; без осадков,768,50,северный,5
Севастополь,2015-01-01,20:00,-3,-5,ясно; без осадков,770,45,северо-восточный,3
Ялта,2015-01-03,2:00,5,7,пасмурно; без осадков,763,89,западный,6
Ялта,2015-01-03,8:00,6,8,пасмурно; без осадков,761,90,юго-западный,6
Ялта,2015-01-03,14:00,5,7,пасмурно; без осадков,760,85,западный,5
Ялта,2015-01-03,20:00,3,5,пасмурно; без осадков,761,90,западный,5
Алушта,2015-01-03,2:00,4,6,облачно; без осадков,761,86,западный,4
Алушта,2015-01-03,8:00,4,6,малооблачно; без осадков,759,85,западный,3
Алушта,2015-01-03,14:00,5,7,пасмурно; без осадков,758,84,западный,3
Алушта,2015-01-03,20:00,3,5,пасмурно; без осадков,758,84,западный,5
Бахчисарай,2015-01-03,2:00,1,3,облачно; без осадков,745,91,юго-западный,3
Бахчисарай,2015-01-03,8:00,3,5,пасмурно; без осадков,743,93,южный,4
Бахчисарай,2015-01-03,14:00,1,3,пасмурно; дождь,743,95,западный,4
Бахчисарай,2015-01-03,20:00,0,2,облачно; без осадков,743,91,западный,3
Джанкой,2015-01-03,2:00,1,3,пасмурно; без осадков,762,85,юго-западный,5
Джанкой,2015-01-03,8:00,3,5,пасмурно; без осадков,761,88,юго-западный,5
Джанкой,2015-01-03,14:00,1,3,пасмурно; дождь,761,98,западный,4
Джанкой,2015-01-03,20:00,1,3,пасмурно; без осадков,761,83,западный,5
Евпатория,2015-01-03,2:00,6,8,пасмурно; без осадков,764,71,юго-западный,9
Евпатория,2015-01-03,8:00,6,8,пасмурно; без осадков,761,80,юго-западный,9
Евпатория,2015-01-03,14:00,4,6,пасмурно; дождь,761,83,северо-западный,8
Евпатория,2015-01-03,20:00,4,6,ясно; без осадков,762,72,западный,8
Саки,2015-01-03,2:00,4,6,облачно; без осадков,763,70,юго-западный,5
Саки,2015-01-03,8:00,5,7,пасмурно; без осадков,761,78,юго-западный,6
Саки,2015-01-03,14:00,2,4,пасмурно; без осадков,761,91,западный,4
Саки,2015-01-03,20:00,2,4,ясно; без осадков,761,79,западный,3
Керчь,2015-01-03,2:00,2,4,пасмурно; без осадков,763,80,юго-западный,2
Керчь,2015-01-03,8:00,3,5,малооблачно; без осадков,761,74,юго-западный,4
Керчь,2015-01-03,14:00,6,8,пасмурно; без осадков,760,79,юго-западный,5
Керчь,2015-01-03,20:00,1,3,облачно; без осадков,761,90,западный,6
Красноперекопск,2015-01-03,2:00,1,3,облачно; без осадков,762,79,юго-западный,5
Красноперекопск,2015-01-03,8:00,3,5,пасмурно; без осадков,761,89,юго-западный,5
Красноперекопск,2015-01-03,14:00,2,4,облачно; дождь,761,90,западный,5
Красноперекопск,2015-01-03,20:00,2,4,пасмурно; без осадков,761,77,западный,6
Щелкино,2015-01-03,2:00,3,5,пасмурно; без осадков,760,82,юго-западный,4
Щелкино,2015-01-03,8:00,2,4,облачно; без осадков,758,80,юго-западный,5
Щелкино,2015-01-03,14:00,3,5,пасмурно; дождь,757,92,западный,7
Щелкино,2015-01-03,20:00,2,4,пасмурно; без осадков,758,87,западный,8
Симферополь,2015-01-03,2:00,1,3,облачно; без осадков,741,92,юго-западный,5
Симферополь,2015-01-03,8:00,2,4,пасмурно; без осадков,740,94,юго-западный,6
Симферополь,2015-01-03,14:00,1,3,пасмурно; дождь,739,98,западный,4
Симферополь,2015-01-03,20:00,0,2,облачно; без осадков,740,92,западный,4
Судак,2015-01-03,2:00,2,4,малооблачно; без осадков,761,85,западный,1
Судак,2015-01-03,8:00,3,5,ясно; без осадков,759,82,юго-западный,3
Судак,2015-01-03,14:00,6,8,пасмурно; без осадков,758,81,западный,3
Судак,2015-01-03,20:00,2,4,ясно; без осадков,758,79,западный,7
Феодосия,2015-01-03,2:00,2,4,малооблачно; без осадков,763,80,западный,2
Феодосия,2015-01-03,8:00,1,3,ясно; без осадков,761,87,южный,2
Феодосия,2015-01-03,14:00,5,7,пасмурно; без осадков,760,82,западный,4
Феодосия,2015-01-03,20:00,2,4,малооблачно; без осадков,761,84,западный,6
Армянск,2015-01-03,2:00,1,3,малооблачно; без осадков,761,80,юго-западный,5
Армянск,2015-01-03,8:00,2,4,пасмурно; без осадков,760,88,юго-западный,6
Армянск,2015-01-03,14:00,2,4,облачно; дождь,760,87,западный,5
Армянск,2015-01-03,20:00,2,4,пасмурно; без осадков,760,78,юго-западный,6
Черноморское,2015-01-03,2:00,3,5,облачно; без осадков,762,88,юго-западный,5
Черноморское,2015-01-03,8:00,3,5,пасмурно; без осадков,761,83,западный,5
Черноморское,2015-01-03,14:00,4,6,малооблачно; без осадков,761,81,западный,7
Черноморское,2015-01-03,20:00,3,5,малооблачно; без осадков,761,69,западный,6
Севастополь,2015-01-03,2:00,4,6,облачно; без осадков,764,78,юго-западный,4
Севастополь,2015-01-03,8:00,5,7,пасмурно; без осадков,762,84,юго-западный,6
Севастополь,2015-01-03,14:00,4,6,пасмурно; дождь,761,87,северо-западный,6
Севастополь,2015-01-03,20:00,3,5,облачно; дождь,762,82,северо-западный,6
Ялта,2015-01-04,2:00,3,5,облачно; без осадков,761,90,западный,4
Ялта,2015-01-04,8:00,4,6,пасмурно; без осадков,758,88,юго-западный,6
Ялта,2015-01-04,14:00,5,7,пасмурно; дождь,755,95,юго-западный,7
Ялта,2015-01-04,20:00,5,7,пасмурно; дождь,752,94,южный,9
Алушта,2015-01-04,2:00,2,4,малооблачно; без осадков,759,85,западный,4
Алушта,2015-01-04,8:00,4,6,пасмурно; без осадков,756,73,юго-западный,4
Алушта,2015-01-04,14:00,6,8,пасмурно; без осадков,753,82,юго-западный,7
Алушта,2015-01-04,20:00,4,6,пасмурно; дождь,749,91,южный,7
Бахчисарай,2015-01-04,2:00,-1,1,облачно; без осадков,743,87,юго-западный,2
Бахчисарай,2015-01-04,8:00,1,3,пасмурно; без осадков,740,85,южный,3
Бахчисарай,2015-01-04,14:00,3,5,пасмурно; дождь,737,90,южный,4
Бахчисарай,2015-01-04,20:00,1,3,пасмурно; дождь,733,98,юго-восточный,2
Джанкой,2015-01-04,2:00,0,2,ясно; без осадков,760,80,юго-западный,4
Джанкой,2015-01-04,8:00,0,2,пасмурно; без осадков,758,76,южный,3
Джанкой,2015-01-04,14:00,6,8,пасмурно; без осадков,754,57,южный,4
Джанкой,2015-01-04,20:00,2,4,пасмурно; без осадков,752,94,южный,2
Евпатория,2015-01-04,2:00,5,7,облачно; без осадков,761,57,западный,9
Евпатория,2015-01-04,8:00,6,8,пасмурно; без осадков,758,66,юго-западный,7
Евпатория,2015-01-04,14:00,6,8,пасмурно; дождь,755,76,юго-западный,9
Евпатория,2015-01-04,20:00,4,6,пасмурно; дождь,752,87,северо-западный,3
Саки,2015-01-04,2:00,3,5,облачно; без осадков,761,63,юго-западный,4
Саки,2015-01-04,8:00,5,7,пасмурно; без осадков,758,67,юго-западный,4
Саки,2015-01-04,14:00,5,7,пасмурно; дождь,754,84,южный,6
Саки,2015-01-04,20:00,3,5,пасмурно; дождь,751,90,юго-западный,1
Керчь,2015-01-04,2:00,1,3,облачно; без осадков,761,80,юго-западный,5
Керчь,2015-01-04,8:00,0,2,пасмурно; без осадков,759,79,юго-западный,4
Керчь,2015-01-04,14:00,7,9,малооблачно; без осадков,756,57,южный,5
Керчь,2015-01-04,20:00,4,6,пасмурно; дождь,753,88,южный,7
Красноперекопск,2015-01-04,2:00,1,3,ясно; без осадков,760,77,юго-западный,5
Красноперекопск,2015-01-04,8:00,2,4,пасмурно; без осадков,757,74,юго-западный,4
Красноперекопск,2015-01-04,14:00,5,7,пасмурно; без осадков,754,62,южный,4
Красноперекопск,2015-01-04,20:00,1,3,пасмурно; без осадков,752,94,юго-западный,2
Щелкино,2015-01-04,2:00,1,3,ясно; без осадков,758,82,юго-западный,7
Щелкино,2015-01-04,8:00,1,3,пасмурно; без осадков,755,79,южный,5
Щелкино,2015-01-04,14:00,5,7,малооблачно; без осадков,752,65,южный,4
Щелкино,2015-01-04,20:00,4,6,пасмурно; без осадков,749,81,южный,5
Симферополь,2015-01-04,2:00,-1,1,облачно; без осадков,739,88,юго-западный,3
Симферополь,2015-01-04,8:00,1,3,пасмурно; без осадков,736,82,южный,5
Симферополь,2015-01-04,14:00,3,5,пасмурно; без осадков,733,82,южный,5
Симферополь,2015-01-04,20:00,1,3,пасмурно; дождь,730,96,юго-восточный,3
Судак,2015-01-04,2:00,2,4,малооблачно; без осадков,758,73,западный,4
Судак,2015-01-04,8:00,3,5,пасмурно; без осадков,756,72,юго-западный,4
Судак,2015-01-04,14:00,6,8,облачно; без осадков,753,75,южный,7
Судак,2015-01-04,20:00,4,6,пасмурно; без осадков,750,83,южный,7
Феодосия,2015-01-04,2:00,1,3,ясно; без осадков,761,77,юго-западный,4
Феодосия,2015-01-04,8:00,3,5,пасмурно; без осадков,758,72,южный,4
Феодосия,2015-01-04,14:00,6,8,малооблачно; без осадков,755,69,южный,7
Феодосия,2015-01-04,20:00,5,7,пасмурно; без осадков,752,74,южный,6
Армянск,2015-01-04,2:00,1,3,ясно; без осадков,759,77,юго-западный,6
Армянск,2015-01-04,8:00,2,4,пасмурно; без осадков,756,79,юго-западный,5
Армянск,2015-01-04,14:00,4,6,пасмурно; без осадков,753,70,южный,4
Армянск,2015-01-04,20:00,1,3,пасмурно; без осадков,751,94,юго-западный,3
Черноморское,2015-01-04,2:00,3,5,ясно; без осадков,760,63,юго-западный,4
Черноморское,2015-01-04,8:00,3,5,пасмурно; без осадков,756,71,юго-западный,4
Черноморское,2015-01-04,14:00,5,7,облачно; без осадков,753,74,юго-западный,7
Черноморское,2015-01-04,20:00,2,4,пасмурно; без осадков,752,93,северо-западный,4
Севастополь,2015-01-04,2:00,3,5,облачно; без осадков,761,70,западный,4
Севастополь,2015-01-04,8:00,5,7,пасмурно; без осадков,758,73,юго-западный,5
Севастополь,2015-01-04,14:00,6,8,пасмурно; дождь,755,82,юго-западный,6
Севастополь,2015-01-04,20:00,4,6,пасмурно; дождь,751,89,южный,4
Ялта,2015-01-02,2:00,1,3,ясно; без осадков,767,46,северо-западный,3
Ялта,2015-01-02,8:00,2,4,ясно; без осадков,767,83,северо-западный,4
Ялта,2015-01-02,14:00,5,7,пасмурно; без осадков,765,76,западный,4
Ялта,2015-01-02,20:00,5,7,пасмурно; без осадков,764,87,западный,5
Алушта,2015-01-02,2:00,0,2,ясно; без осадков,766,20,западный,2
Алушта,2015-01-02,8:00,1,3,малооблачно; без осадков,765,71,северо-западный,4
Алушта,2015-01-02,14:00,5,7,облачно; без осадков,763,74,северо-западный,2
Алушта,2015-01-02,20:00,5,7,малооблачно; без осадков,762,85,северо-западный,3
Бахчисарай,2015-01-02,2:00,-5,-7,ясно; без осадков,749,28,восточный,1
Бахчисарай,2015-01-02,8:00,-1,-3,пасмурно; без осадков,749,78,юго-восточный,2
Бахчисарай,2015-01-02,14:00,1,3,пасмурно; без осадков,748,84,южный,2
Бахчисарай,2015-01-02,20:00,2,4,пасмурно; без осадков,746,94,южный,3
Джанкой,2015-01-02,2:00,-4,-6,ясно; без осадков,768,81,юго-западный,2
Джанкой,2015-01-02,8:00,0,-2,пасмурно; без осадков,767,85,юго-западный,4
Джанкой,2015-01-02,14:00,2,4,пасмурно; без осадков,765,81,юго-западный,4
Джанкой,2015-01-02,20:00,2,4,пасмурно; без осадков,764,91,юго-западный,3
Евпатория,2015-01-02,2:00,1,3,пасмурно; без осадков,768,79,западный,3
Евпатория,2015-01-02,8:00,2,4,пасмурно; без осадков,768,79,западный,5
Евпатория,2015-01-02,14:00,4,6,пасмурно; без осадков,766,79,юго-западный,6
Евпатория,2015-01-02,20:00,5,7,пасмурно; без осадков,764,79,юго-западный,7
Саки,2015-01-02,2:00,-1,-3,пасмурно; без осадков,768,56,юго-восточный,1
Саки,2015-01-02,8:00,0,2,пасмурно; без осадков,767,84,юго-западный,1
Саки,2015-01-02,14:00,4,6,пасмурно; без осадков,765,80,юго-западный,4
Саки,2015-01-02,20:00,4,6,пасмурно; без осадков,764,84,юго-западный,4
Керчь,2015-01-02,2:00,-3,-5,ясно; без осадков,768,77,западный,3
Керчь,2015-01-02,8:00,-1,-3,облачно; без осадков,768,84,западный,4
Керчь,2015-01-02,14:00,2,4,пасмурно; без осадков,766,73,юго-западный,4
Керчь,2015-01-02,20:00,2,4,пасмурно; без осадков,765,77,юго-западный,3
Красноперекопск,2015-01-02,2:00,-3,-5,облачно; без осадков,768,87,юго-западный,2
Красноперекопск,2015-01-02,8:00,-1,1,пасмурно; без осадков,767,89,юго-западный,3
Красноперекопск,2015-01-02,14:00,2,4,пасмурно; без осадков,766,84,юго-западный,5
Красноперекопск,2015-01-02,20:00,1,3,пасмурно; без осадков,764,93,юго-западный,3
Щелкино,2015-01-02,2:00,-1,-3,ясно; без осадков,765,78,западный,5
Щелкино,2015-01-02,8:00,-1,1,пасмурно; без осадков,765,82,западный,6
Щелкино,2015-01-02,14:00,2,4,пасмурно; без осадков,763,77,юго-западный,6
Щелкино,2015-01-02,20:00,3,5,пасмурно; без осадков,762,85,юго-западный,4
Симферополь,2015-01-02,2:00,-4,-6,ясно; без осадков,746,22,южный,2
Симферополь,2015-01-02,8:00,0,-2,пасмурно; без осадков,746,76,южный,4
Симферополь,2015-01-02,14:00,1,3,пасмурно; без осадков,744,85,южный,5
Симферополь,2015-01-02,20:00,2,4,пасмурно; без осадков,743,95,южный,4
Судак,2015-01-02,2:00,-2,-4,ясно; без осадков,766,29,северо-западный,2
Судак,2015-01-02,8:00,0,-2,ясно; без осадков,766,45,северо-западный,1
Судак,2015-01-02,14:00,4,6,малооблачно; без осадков,764,60,южный,1
Судак,2015-01-02,20:00,4,6,облачно; без осадков,762,69,юго-западный,2
Феодосия,2015-01-02,2:00,-1,-3,ясно; без осадков,768,29,западный,4
Феодосия,2015-01-02,8:00,0,-2,ясно; без осадков,767,54,северо-западный,2
Феодосия,2015-01-02,14:00,4,6,облачно; без осадков,766,58,юго-западный,1
Феодосия,2015-01-02,20:00,3,5,пасмурно; без осадков,764,72,южный,2
Армянск,2015-01-02,2:00,-2,-4,ясно; без осадков,767,78,западный,3
Армянск,2015-01-02,8:00,-1,1,пасмурно; без осадков,767,88,юго-западный,5
Армянск,2015-01-02,14:00,1,3,пасмурно; без осадков,764,86,юго-западный,5
Армянск,2015-01-02,20:00,1,3,пасмурно; без осадков,763,92,юго-западный,5
Черноморское,2015-01-02,2:00,-1,1,пасмурно; без осадков,767,85,западный,2
Черноморское,2015-01-02,8:00,0,2,пасмурно; без осадков,767,88,юго-западный,3
Черноморское,2015-01-02,14:00,3,5,пасмурно; без осадков,765,84,западный,3
Черноморское,2015-01-02,20:00,3,5,пасмурно; без осадков,764,84,юго-западный,4
Севастополь,2015-01-02,2:00,-2,-4,ясно; без осадков,769,36,северо-восточный,2
Севастополь,2015-01-02,8:00,0,2,пасмурно; без осадков,768,71,западный,1
Севастополь,2015-01-02,14:00,4,6,пасмурно; без осадков,767,78,юго-западный,2
Севастополь,2015-01-02,20:00,4,6,пасмурно; без осадков,765,86,юго-западный,4
Ялта,2015-01-05,2:00,3,5,пасмурно; без осадков,751,87,западный,7
Ялта,2015-01-05,8:00,2,4,облачно; без осадков,755,83,западный,5
Ялта,2015-01-05,14:00,3,5,малооблачно; без осадков,755,62,западный,4
Ялта,2015-01-05,20:00,2,4,пасмурно; без осадков,756,89,западный,4
Алушта,2015-01-05,2:00,3,5,пасмурно; дождь,748,87,западный,7
Алушта,2015-01-05,8:00,1,3,облачно; без осадков,752,81,западный,4
Алушта,2015-01-05,14:00,3,5,ясно; без осадков,753,61,западный,3
Алушта,2015-01-05,20:00,1,3,облачно; без осадков,755,83,западный,4
Бахчисарай,2015-01-05,2:00,-1,1,облачно; снег,734,95,западный,3
Бахчисарай,2015-01-05,8:00,0,-2,облачно; без осадков,737,96,восточный,1
Бахчисарай,2015-01-05,14:00,0,2,малооблачно; снег,737,73,юго-западный,3
Бахчисарай,2015-01-05,20:00,0,-2,малооблачно; снег,739,94,юго-западный,3
Джанкой,2015-01-05,2:00,-1,1,пасмурно; снег,752,89,западный,5
Джанкой,2015-01-05,8:00,-2,-4,ясно; без осадков,755,91,юго-западный,3
Джанкой,2015-01-05,14:00,1,3,малооблачно; без осадков,755,61,юго-западный,5
Джанкой,2015-01-05,20:00,0,-2,малооблачно; без осадков,756,88,юго-западный,3
Евпатория,2015-01-05,2:00,2,4,пасмурно; без осадков,753,82,северо-западный,7
Евпатория,2015-01-05,8:00,1,3,облачно; без осадков,755,82,северо-западный,5
Евпатория,2015-01-05,14:00,2,4,малооблачно; без осадков,756,68,западный,9
Евпатория,2015-01-05,20:00,2,4,ясно; без осадков,757,76,северо-западный,7
Саки,2015-01-05,2:00,0,2,облачно; без осадков,752,88,северо-западный,4
Саки,2015-01-05,8:00,0,-2,облачно; без осадков,755,90,северо-западный,2
Саки,2015-01-05,14:00,2,4,облачно; дождь,755,63,западный,6
Саки,2015-01-05,20:00,0,2,ясно; без осадков,757,86,западный,3
Керчь,2015-01-05,2:00,4,6,пасмурно; дождь,749,90,южный,4
Керчь,2015-01-05,8:00,0,2,пасмурно; без осадков,755,90,западный,7
Керчь,2015-01-05,14:00,2,4,пасмурно; без осадков,756,57,западный,6
Керчь,2015-01-05,20:00,0,-2,ясно; без осадков,757,75,юго-западный,3
Красноперекопск,2015-01-05,2:00,-1,1,пасмурно; без осадков,752,88,западный,4
Красноперекопск,2015-01-05,8:00,-1,-3,ясно; без осадков,755,87,западный,4
Красноперекопск,2015-01-05,14:00,1,3,пасмурно; без осадков,755,66,юго-западный,5
Красноперекопск,2015-01-05,20:00,-1,1,ясно; без осадков,756,88,западный,4
